id,name,review_count,categories,subcate,rate,location,phone,latitude,longitude
1,The Metropolitan Museum of Art,2611,Museums,Art Museums,4.5,1000 5th Ave,(212) 535-7710,40.7793,-73.9629
2,Spyscape,119,Museums,Museums,4.5,928 8th Ave,(212) 549-1941,40.7652,-73.9837
3,American Museum of Natural History,1913,Museums,Museums,4.0,Central Park West 79th St,(212) 769-5100,40.7812,-73.9741
4,The Museum of Modern Art,1890,Museums,Art Museums,4.5,11 West 53rd St,(212) 708-9400,40.7615,-73.9774
5,Museum of the Moving Image,508,Museums,Cinema,4.5,3601 35th Ave,(718) 777-6888,40.7564,-73.9239
6,Museum of the American Gangster,104,Museums,Museums,4.0,80 St Marks Pl,(212) 228-5736,40.7276,-73.9857
7,Brooklyn Museum,562,Museums,Art Museums,4.5,200 Eastern Pkwy,(718) 638-5000,40.6714,-73.9637
8,Whitney Museum of American Art,397,Museums,Art Museums,4.0,99 Gansevoort St,(212) 570-3600,40.7396,-74.009
9,New York Transit Museum,369,Museums,Museums,4.5,Boerum Pl Schermerhorn St,(718) 694-1600,40.6905,-73.9899
10,Guggenheim Museum,929,Museums,Museums,3.5,1071 5th Ave,(212) 423-3500,40.783,-73.9591
11,Museum of Sex,997,Museums,Museums,3.0,233 5th Ave,(212) 689-6337,40.7441,-73.9874
12,Tenement Museum,586,Museums,Museums,4.0,103 Orchard St,(877) 975-3786,40.7188,-73.99
13,The Cloisters,601,Museums,Museums,4.5,99 Margaret Corbin Dr,(212) 923-3700,40.865,-73.9316
14,Rubin Museum of Art,244,Museums,Art Museums,4.5,150 W 17th St,(212) 620-5000,40.7401,-73.9977
15,Frick Collection,469,Museums,Art Museums,4.5,1 E 70th St,(212) 288-0700,40.7709,-73.9672
16,Dream Machine,91,Museums,Art Museums,3.5,93 N 9th St,,40.7204,-73.9587
17,Museum of Food and Drink Lab,91,Museums,Museums,3.5,62 Bayard St,(718) 387-2845,40.7189,-73.9495
18,Museum at Eldridge Street,51,Museums,Museums,4.5,12 Eldridge St,(212) 219-0302,40.7147,-73.9934
19,National September 11 Memorial Museum,1318,Museums,Museums,4.5,180 Greenwich St,(212) 266-5211,40.7114,-74.013
